Altium Designer Pick and Place Locations
D:\WORK\My projects\motohelmet\RED_CAT\RED_CAT_HW\Schematic\RSD_M1_HELMET_UNIT_PCB\Project Outputs for helmet_lights\Pick Place for RSD_M1_HELMET_MOTORCYCLE_UNITS_V2.csv

========================================================================================================================
File Design Information:

Date:       13.07.20
Time:       20:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"VD11","TopLayer","68.697","15.029","3"
"VD12","TopLayer","79.897","15.629","3"
"VD13","TopLayer","45.997","14.229","183"
"VD14","TopLayer","35.397","17.629","183"
"VD15","TopLayer","32.482","42.725","42"
"VD16","TopLayer","44.858","48.366","13"
"VD17","TopLayer","61.097","50.329","3"
"VD18","TopLayer","76.997","51.829","3"
"VD19","TopLayer","41.697","26.129","183"
"VD20","TopLayer","29.697","26.229","183"
"VD21","TopLayer","17.697","25.229","183"
"VD22","TopLayer","41.097","36.629","183"
"VD24","TopLayer","17.297","31.629","183"
"VD25","TopLayer","77.897","23.529","183"
"VD26","TopLayer","65.897","23.929","183"
"VD27","TopLayer","53.897","23.229","183"
"VD28","TopLayer","77.297","34.429","183"
"VD29","TopLayer","65.293","33.933","184"
"VD30","TopLayer","53.397","33.229","183"
"VD31","TopLayer","76.699","45.450","183"
"VD32","TopLayer","64.797","43.929","184"
"VD33","TopLayer","52.800","43.124","184"
